ExampleSat.UTCGregorian    ExampleSat.X              ExampleSat.Y              ExampleSat.Z              ExampleSat.VX             ExampleSat.VY             ExampleSat.VZ             
04 May 2002 11:45:15.695   -6775.105759552147        -2396.512640028521        3.17775066150299          -0.3664808066053247       1.07097957977234          7.36232812682508          
04 May 2002 11:46:55.695   -6775.289534849826        -2276.731179563793        738.0715014389082         0.3628552359237913        1.32251178048337          7.322327281751302         
04 May 2002 11:48:35.695   -6702.65989246291         -2132.481905536903        1465.01275273985          1.088469076411671         1.559890849680474         7.203414665385186         
04 May 2002 11:50:15.695   -6557.983554381758        -1965.310635709905        2176.166251814562         1.802483518383398         1.78053485171962          7.006853846187462         
04 May 2002 11:51:55.695   -6342.809304138999        -1777.012375721757        2863.866273067567         2.497149924211202         1.982046930097699         6.734768627168259         
04 May 2002 11:53:35.695   -6059.450595429507        -1569.611407229122        3520.701402101266         3.164938530570529         2.162242926314582         6.390116290527705         
04 May 2002 11:55:15.695   -5710.959309680447        -1345.338766564896        4139.596097339416         3.798624846656692         2.319175856300804         5.97665000189432          
04 May 2002 11:56:55.695   -5301.091126463488        -1106.60744586139         4713.88799343622          4.391370729506653         2.451156919854086         5.498871438477487         
04 May 2002 11:58:35.695   -4834.263097944642        -855.9856741836284        5237.400030450952         4.936799005483222         2.556772849554511         4.961974914062418         
04 May 2002 12:00:15.695   -4315.50411724395         -596.1686494888515        5704.506626141892         5.429060813534124         2.634899533261742         4.371784392192265         
04 May 2002 12:01:55.695   -3750.399037001775        -329.9490926891091        6110.193250764976         5.862895161646471         2.684711959699487         3.73468480189256          
04 May 2002 12:03:35.695   -3145.02723215746         -60.18698606238302        6450.108901749852         6.233680482398857         2.705690630438976         3.057549006852625         
04 May 2002 12:05:15.695   -2505.896406455945        210.221161094372          6720.611107049862         6.537478228470834         2.697624648385957         2.347661635371348         
04 May 2002 12:06:55.695   -1839.872430697673        478.3731984759852         6918.803195474746         6.771068735923278         2.66061172775594          1.612640786454045         
04 May 2002 12:08:35.695   -1154.10596963433         741.3920772639564         7042.563664468521         6.931979699003642         2.595055374781448         0.8603584017215797        
04 May 2002 12:10:15.695   -455.9566170262999        996.4561780251421         7090.567543152966         7.018507634882724         2.501659463900407         0.09885986712327335       
04 May 2002 12:11:55.695   247.084776466128          1240.828972625432         7062.299694258159         7.029732676407963         2.381420387680128         -0.6637167893728257       
04 May 2002 12:13:35.695   947.4749309296412         1471.887785050957         6958.060027308976         6.965526929150142         2.235616897435034         -1.41922189297415         
04 May 2002 12:15:15.695   1637.697482224865         1687.151423207218         6778.960610827706         6.826556481884293         2.065797686175652         -2.159575180170286        
04 May 2002 12:16:55.695   2310.342208773574         1884.306456481181         6526.914683061621         6.614276993918502         1.873766705126717         -2.876846800268684        
04 May 2002 12:18:35.695   2958.183488744712         2061.23191043884          6204.617574627224         6.330922621786494         1.661566159248807         -3.563338072196512        
04 May 2002 12:20:15.695   3574.257303334592         2216.02214245769          5815.519582223967         5.979487919225952         1.431457104602046         -4.211661667456903        
04 May 2002 12:21:55.695   4151.936063978633         2347.007655168178         5363.790873026031         5.563702267170767         1.18589757382986          -4.814820701107069        
04 May 2002 12:23:35.695   4685.000492122148         2452.77359752434          4854.278563736045         5.08799638537791          0.9275181914470889        -5.366285984159094        
04 May 2002 12:25:15.695   5167.707739867446         2532.175702878893         4292.456203901595         4.557460549747392         0.6590953034351575        -5.860070462785234        
04 May 2002 12:26:55.695   5594.854908657197         2584.353419917082         3684.366001312175         3.977794292084028         0.3835217336737531        -6.290799661613801        
04 May 2002 12:28:35.695   5961.837110042539         2608.740008566992         3036.55425630526          3.355247586281181         0.1037753864188296        -6.653776788097308        
04 May 2002 12:30:15.695   6264.699229122426         2605.069401050294         2356.000608623397         2.696553804683741         -0.1771139729010145       -6.945041069950695        
04 May 2002 12:31:55.695   6500.180593155428         2573.379666966662         1650.041847581372         2.008855048856575         -0.4560993121732573       -7.161417894881265        
04 May 2002 12:33:35.695   6665.751826477626         2514.012971510715         926.2911739139971         1.299620784087529         -0.7301517563793416       -7.300559418512965        
04 May 2002 12:35:15.695   6759.643281483244         2427.611974806749         192.5539272226079         0.5765610155194636        -0.9962962158910026       -7.360974495136145        
04 May 2002 12:36:55.695   6780.864573473874         2315.112685605147         -543.2591065259521        -0.1524644947068716       -1.25164654621253         -7.342047059437639        
04 May 2002 12:38:35.695   6729.214907734752         2177.733851295003         -1273.21962035227         -0.8795392740610611       -1.493439551764175        -7.24404242673528         
